Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
Imperial County Gateway of the Americas County Service Area (CSA) Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2014/2014_0015gateway_final_wdr.pdf
https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/orders/2003/03_01basis.pdf",Imperial Irrigation District,18.11,32.792921852,-115.560789625
Lake Wildwood Wastewater Treatment Plant,False,"https://www.nevadacountyca.gov/DocumentCenter/View/44405/Lake-Wildwood-FAQ-06-22-2022
https://nevadacountyca.gov/Calendar.aspx?EID=15409",Pacific Gas & Electric Company,37.70,39.234783156,-121.218680211
City of San Mateo Wastewater Treatment Plant,True,"https://www.cityofsanmateo.org/DocumentView.aspx?DID=85
https://cleanwaterprogramsanmateo.org/wp-content/uploads/2017/05/SM_FINAL_Wastewater_Basics_Presentation_v3.pdf",Pacific Gas & Electric Company,37.70,37.568504937,-122.294853173
South County Regional Wastewater Authority (SCRWA) Plant,True,"https://www.scrwa.org/
https://www.cwea.org/news/award-winners/south-county-regional-wastewater-authority-jacobs/","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,36.986851604,-121.538837755
City of Lincoln Wastewater Treatment Plant,False,https://www.lincolnca.gov/living-here/wastewater/,Pacific Gas & Electric Company,37.70,38.866795472,-121.349357089
Western Municipal Water District (WMWD) / Elsinore Valley Municipal Water District (EVMWD) Regional Recycled Water Distribution and Discharge System,False,https://westernwaterca.gov/179/Recycled-Water,"Southern California Edison, Metropolitan Water District of So. Cal",,33.679725803,-117.328824081
Industrial Waste Treatment Facility,Insufficient,"https://cleanla.lacounty.gov/industrial-waste/
https://www.waterboards.ca.gov/",Pacific Gas & Electric Company,37.70,38.391365032,-121.933733215
City of Woodland Water Pollution Control Facility,False,https://www.cityofwoodland.gov/743/Treatment-Process,Pacific Gas & Electric Company,37.70,38.662155071,-121.714083215
City of Salinas Industrial Waste Treatment Facility (IWTF),False,"https://www.salinas.gov/City-Hall/Departments/Public-Works/PW-Maintenance-Services/Environmental-Maintenance-Services/Industrial-Waste-Facility
https://www.waterboards.ca.gov/centralcoast/board_info/agendas/2024/dec/Item11_stfrpt.pdf",Pacific Gas & Electric Company,37.70,36.667157903,-121.656040978
City of Folsom Wastewater Treatment Plant,False,"https://www.folsom.ca.us/government/public-works/utilities/wastewater
https://www.regionalsan.com/about-us",Sacramento Municipal Utility District,16.62,38.681663114,-121.163009132
Goleta Sanitary District Water Resource Recovery Facility,True,https://www.goletasanitary.org/about-us,Southern California Edison,26.48,34.424615804,-119.83609548
City of Tulelake Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/siskiyou/r5-2017-0099.pdf
https://ci.tulelake.ca.us/departments/public-works/",PacifiCorp,19.26,41.950925347,-121.471613642
Sausalito-Marin City Sanitary District (SMCSD) Wastewater Treatment Plant,True,https://sausalitomarincitysanitarydistrict.com/customer-information/capital-projects-new/projects-under-construction-or-in-final-design/,Pacific Gas & Electric Company,37.70,37.843310946,-122.477513232
City of Newman Wastewater Treatment and Reclamation Facility,False,"https://cityofnewman.gov/
https://ceqanet.lci.ca.gov/2015052076/6",Pacific Gas & Electric Company,37.70,37.337343314,-120.986702799
El Dorado Irrigation District (EID) Deer Creek Wastewater Treatment Plant,False,"https://www.eid.org/about-us/project-updates/solar-arrays-deer-creek-and-el-dorado-hills
https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/el_dorado/5-01-146.pdf",Pacific Gas & Electric Company,37.70,38.627783123,-120.984180097
City of Colton Water Reclamation Facility,True,"https://www.coltonca.gov/653/Wastewater-Information
https://www.coltonca.gov/AgendaCenter/ViewFile/Agenda/_08092021-1100",Colton Electric Utility Department,24.86,34.050601315,-117.333094441
City of Willits Wastewater Treatment Plant,False,"https://cityofwillits.org/145/Wastewater
https://ceqanet.lci.ca.gov/2001032016",Pacific Gas & Electric Company,37.70,39.420561002,-123.340013556
McKinleyville Wastewater Management Facility,False,"https://www.mckinleyvillecsd.ca.gov/wastewater-management-facility
https://www.mckinleyvillecsd.ca.gov/files/b83347460/2023+WWMF+Annual+Report.pdf",Pacific Gas & Electric Company,37.70,40.941757494,-124.123606537
City of Shasta Lake Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2012/09_uncon_npdes/shasta_npdes_buff.pdf
https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2012/09_uncon_npdes/shasta_noph.pdf",City of Shasta Lake,,40.663005174,-122.383360377
City of Lincoln Wastewater Treatment and Reclamation Facility,False,"https://ceqanet.lci.ca.gov/1998122071/2
https://todb.ca.gov/files/83a64c7a7/2018-07-18_agenda_packet.pdf
https://www.liswa-ca.gov/frequently-asked-questions/",Pacific Gas & Electric Company,37.70,38.866795472,-121.349357089
