Facility Name,Has Anerobic Digester,Sources,Electric Service Utility,Average Price (Cents/kWh),latitude,longitude
San Bernardino Municipal Water Department Water Reclamation Plant,True,"https://www.sbmwd.org/176/Water-Reclamation
https://www.sbmwd.org/376/Fuel-Cell",Colton Electric Utility Department,24.86,34.044084906,-117.360432037
Planada Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/merced/r5-2016-0044.pdf
https://www.planadacsd.org/",Merced Irrigation District,18.95,37.291705053,-120.316712836
Water Quality Control Plant (WQCP),True,"https://www.ssf.net/departments/public-works/water-quality-control-plant
https://www.sanbruno.ca.gov/224/Water-Quality-Control-Plant",Pacific Gas & Electric Company,37.70,37.641607579,-122.399983197
Moorpark Water Reclamation Facility,False,https://publicworks.venturacounty.gov/wsd/sanitation/,"Southern California Edison, Metropolitan Water District of So. Cal",,34.278967121,-118.894090809
Sewer Authority Mid-Coastside (SAM) Wastewater Treatment Plant,False,"https://samcoastside.org/plant-operations
https://samcoastside.org/documents",Pacific Gas & Electric Company,37.70,37.472615917,-122.443652184
City of Crescent City Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/northcoast/board_info/board_meetings/01_2017/pdf/ccity/160927_CityofCrescentCity_WWTF_Draft.pdf,PacifiCorp,19.26,41.747116201,-124.201739576
Dunsmuir Wastewater Treatment Plant,False,"https://ceqanet.lci.ca.gov/2018122012/3
https://static1.squarespace.com/static/54c9a764e4b0ee5502d31f04/t/5c06c0ec758d464fc08e4e27/1543946528495/Initial+Study+-+MND+-+Dunsmuir+WWTP+Improvements+-+with+Appendices+12-03-18.pdf",PacifiCorp,19.26,41.183574219,-122.284168648
City of Needles Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2015/2015_0018city_of_needles_wdr.pdf
https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/1999/99_068.pdf",City of Needles,,34.829971,-114.595233401
American Canyon Water Reclamation Facility,False,"https://www.americancanyon.gov/Live/Utilities-Services/Water/Wastewater-Collection-Treatment
https://stories.opengov.com/americancanyonca/3b6a1366-d10f-4535-b1c7-18438d748212/published/X593zQjLr?currentPageId=6a4ee3966a228ec4b9c02c84",Pacific Gas & Electric Company,37.70,38.187904988,-122.278213243
Mid-Valley Water Reclamation Plant No. 4,Insufficient,"https://www.waterboards.ca.gov/rwqcb7/board_decisions/adopted_orders/resolutions/2023/2023_0013cvwd_wrp4_wdr.pdf
http://www.cvwd.org/642/Water-Reclamation-Plant-No-4-WRP-4-Non-P",Imperial Irrigation District,18.11,33.59192192,-116.121714784
City of Coachella Sanitation Division / Coachella Sanitary District Wastewater Treatment Facility,False,"https://www.coachella.org/departments/public-works-department/sanitation-division
https://www.cvwd.org/163/Wastewater-Treatment",Imperial Irrigation District,18.11,33.656634928,-116.144931793
City of Lodi White Slough Water Pollution Control Facility,True,https://www.lodi.gov/580/Waste-Water,Pacific Gas & Electric Company,37.70,38.088338047,-121.383624094
Scotts Valley Wastewater Treatment Facility,False,"https://www.scottsvalley.gov/159/Wastewater
https://www.scottsvalley.gov/175/Treatment-Process",Pacific Gas & Electric Company,37.70,37.041121934,-122.02716256
Calleguas Municipal Water District Headquarters / Regional Salinity Management Pipeline,False,"https://www.waterboards.ca.gov/losangeles/board_decisions/adopted_orders/docs/4917_R4-2003-0083_WDR_rev.pdf
https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/CiwqsReportServlet?reportID=9901594&inCommand=drilldown&reportName=RegulatedFacilityDetail&place=4&program=NPDES&majorminor=Major","Southern California Edison, Metropolitan Water District of So. Cal",,34.243525993,-118.836693079
City of Redlands Wastewater Treatment Plant,False,"https://www.redlands.gov/wastewater-treatment/
https://lincusenergy.com/redlands-wastewater-treatment-plant-completes-energy-improvements/",Southern California Edison,26.48,34.070724918,-117.205762012
Mt. View Sanitary District (MVSD) Wastewater Treatment Plant,False,"https://www.mvsd.org/wastewater-treatment-process
https://www.waterboards.ca.gov/sanfranciscobay/board_decisions/adopted_orders/2010/R2-2010-0099.pdf",Pacific Gas & Electric Company,37.70,38.019625988,-122.099947196
City of Ukiah Wastewater Treatment Facility,False,https://cityofukiah.com/water-sewer/,"Pacific Gas & Electric Company, City of Ukiah Electric Utilities Division",,39.112404992,-123.187703493
Oakhurst Wastewater Treatment Facility,Insufficient,"https://ceqanet.lci.ca.gov/1979021965
https://www.maderacounty.com/government/community-economic-development-department/divisions/environmental-health-division",Pacific Gas & Electric Company,37.70,37.3507516,-119.699905145
San Francisco International Airport (SFO) Mel Leong Treatment Plant (MLTP),False,"https://plantconstruction.com/projects/sfo-mel-leong-treatment-plant/
https://baywork.org/wp-content/uploads/2018/06/Project-Survey-Airport.pdf",Pacific Gas & Electric Company,37.70,37.636254936,-122.385843194
North Fresno Wastewater Reclamation Facility (NFWRF),False,"https://www.fresno.gov/publicutilities/sewer-wastewater/wastewater-facilities-infrastructure/
https://www.fresno.gov/publicutilities/sewer-wastewater/",Pacific Gas & Electric Company,37.70,36.895638262,-119.754812892
Stege Sanitary District (SSD) Collection System,False,"https://stegesanitary.org/
https://www.ebmud.com/wastewater/wastewater-treatment",Pacific Gas & Electric Company,37.70,37.918814966,-122.299853214
City of Yuba City Wastewater Treatment Facility,True,https://yubacity.net/departments/public_works/wastewater_treatment/wastewater_treatment_plant_operations/index.php,Pacific Gas & Electric Company,37.70,39.107505114,-121.612291255
"Forestville Water District Wastewater Treatment, Recycling, and Disposal Facility",False,"https://www.waterboards.ca.gov/northcoast/board_info/board_meetings/04_2024/pdf/4/4-forestville-ssr.pdf
https://www.forestvillewd.com/waste-water-sewer-service","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.470274966,-122.888723368
North Bayside System Unit (NBSU),False,"https://www.waterboards.ca.gov/sanfranciscobay/board_info/agendas/2019/July/5c_ssr.pdf
https://ciwqs.waterboards.ca.gov/ciwqs/readOnly/PublicAttachmentRetriever?parentID=3438169&attachmentID=704844&attType=4","Pacific Gas & Electric Company, City and County of San Francisco - Hetch Hetchy Water and Power",,37.732718943,-122.390460206
City of Berkeley Wastewater Collection System,False,"https://berkeleyca.gov/services/environmental-programs/sewers-and-stormwater
https://www.ebmud.com/wastewater/how-wastewater-treated",Pacific Gas & Electric Company,37.70,37.879127462,-122.30598321
Placer County Sewer Maintenance District No. 3 (SMD 3) Wastewater Treatment Plant,False,"https://www.placer.ca.gov/DocumentCenter/View/36147/11_Utilities-and-Service-Systems-Archive-PDF
https://ceqanet.lci.ca.gov/2011122079/6",Pacific Gas & Electric Company,37.70,38.797783126,-121.134180142
City of Rialto Wastewater Treatment Plant,True,https://rialtowater.com/,Not Applicable,,34.055904907,-117.361352038
Stallion Springs Community Services District (CSD) Wastewater Treatment Facility,False,https://www.stallionspringscsd.com/services/page/wastewater,Southern California Edison,26.48,35.082415037,-118.637092752
City of Jackson Wastewater Treatment Plant,False,https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2410/14_uncon_npdes/14a_jackson_wtp/jackson_wwtp_buff.pdf,Pacific Gas & Electric Company,37.70,38.333305112,-120.78331303
Rodeo Sanitary District Water Pollution Control Plant (WPCP),False,"https://rodeosan.org/about/
https://rodeosan.org/wp-content/uploads/2025/12/rsd_job-posting_20251212.pdf",Pacific Gas & Electric Company,37.70,38.040514979,-122.262703223
City of Benicia Wastewater Treatment Plant,True,"https://solano.courts.ca.gov/system/files/belt-waste-water-052402019-final.pdf
https://www.overaa.com/projects/benicia-wastewater-treatment-plant/",Pacific Gas & Electric Company,37.70,38.045313558,-122.150896064
City of Palo Alto Regional Water Quality Control Plant (RWQCP),False,"https://www.paloalto.gov/Departments/Public-Works/Regional-Water-Quality-Control-Plant
https://www.waterboards.ca.gov/rwqcb2/board_info/agendas/2015/February/PARWQCP/TOCDO_Palo_%20Alto.pdf","Power and Water Resource Pooling Authority, City of Palo Alto",,37.45833794,-122.110846133
North San Mateo County Sanitation District Wastewater Treatment Facility,False,"https://www.smcgov.org/confluence/display/CSD/North+San+Mateo+County+Sanitation+District
https://www.waterboards.ca.gov/sanfranciscobay/board_decisions/adopted_orders/2012/R2-2012-0036.pdf",Pacific Gas & Electric Company,37.70,37.703429903,-122.485956301
City of Willows Wastewater Treatment Plant,False,https://cityofwillows.org/departments/community-development-services/public-works-division/,Pacific Gas & Electric Company,37.70,39.5007101,-122.192194396
Windsor Water Reclamation Facility (WWRF),False,"https://ceqanet.lci.ca.gov/2022110335
https://www.townofwindsor.ca.gov/578/Water-Reclamation-Facilities","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.541084977,-122.816853366
Avila Beach Community Services District Wastewater Treatment Facility,False,"https://www.avilabeachcsd.org/wastewater-treatment-facility
https://www.waterboards.ca.gov/centralcoast/board_decisions/adopted_orders/2021/r3-2021-0003_avilawwtp.pdf",Pacific Gas & Electric Company,37.70,35.181642903,-120.730043425
City of Albany Sanitary Sewer Collection System,False,"https://www.albanyca.gov/Departments/Public-Works/Programs/Sanitary-Sewer-System
https://www.ebmud.com/wastewater/collection-treatment/sewers",Pacific Gas & Electric Company,37.70,37.886874962,-122.29776021
Santa Ynez Band of Chumash Indians Wastewater Treatment Plant,False,"https://www.epa.gov/npdes-permits/CA0050008
https://19january2021snapshot.epa.gov/sites/static/files/2017-08/documents/ca0050008-santa-ynez-final-permit-factsheet-2014.pdf",Pacific Gas & Electric Company,37.70,38.235837992,-122.28612425
City of Tracy Wastewater Treatment Plan,True,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/san_joaquin/r5-2022-0073_npdes.pdf
https://www.cityoftracy.org/files/assets/city/v/1/public-works/documents/2010-municipal-emissions-inventory-update.pdf",Pacific Gas & Electric Company,37.70,37.765561016,-121.420846062
Jurupa Community Services District (JCSD) Indian Hills System / Regional Wastewater Facilities,False,"https://www.jcsd.us/yourdistrict/wastewater/
https://www.jcsd.us/wp-content/uploads/2024/04/2020-UWMP_E-Version_with_WSCP.pdf","Southern California Edison, Metropolitan Water District of So. Cal",,33.981034892,-117.456462048
San Elijo Wastewater Reclamation Facility,True,"https://www.sejpa.org/about-us
https://www.sejpa.org/water-learning/wastewater-treatment","San Diego Gas & Electric, Metropolitan Water District of So. Cal",,33.013574791,-117.272981942
San Jose Creek Water Reclamation Plant (WRP),False,"https://www.lacsd.org/services/wastewater-sewage/facilities/san-jose-creek-water-reclamation-plant
https://www.lacsd.org/services/wastewater-sewage/facilities/wastewater-treatment-process","Southern California Edison, Metropolitan Water District of So. Cal",,34.032115866,-118.021068148
Graton Community Services District Wastewater Treatment Facility,False,"https://www.graton.org/services
https://heroninnovators.com/graton-saf-achieves-results-impossible","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.437444965,-122.869893361
City of Gustine Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/merced/r5-2016-0062.pdf,Pacific Gas & Electric Company,37.70,37.256318004,-120.960739934
Scotia Wastewater Treatment Plant,Insufficient,https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2012/120524_12_0065_NPDES_ScotiaCSDWWTF.pdf,Pacific Gas & Electric Company,37.70,40.454539018,-124.0402588
West County Agency (WCA) Common Outfall,False,"https://www.contracostalafco.org/municipal_service_reviews/west_county_water_wastewater/8.0%20WCWD%20Final.pdf
https://wcwd.org/collaboration/",Pacific Gas & Electric Company,37.70,37.977154968,-122.332703226
Tapia Water Reclamation Facility,True,"https://www.lvmwd.gov/tapia-water-reclamation-facility
https://www.lvmwd.gov/rancho-las-virgenes-composting-facility","Southern California Edison, Metropolitan Water District of So. Cal",,34.081963833,-118.708699267
City of Rio Vista Northwest Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2102/10_uncon_npdes/10c_riovista_npdes/riovistanw_wwtf_noph.pdf
https://ceqanet.lci.ca.gov/1991063066/3",Pacific Gas & Electric Company,37.70,38.186755974,-121.703845446
City of Paso Robles Wastewater Treatment Facility,True,https://www.2g-energy.com/projects/wm-lyles-paso-robles,Pacific Gas & Electric Company,37.70,35.658337874,-120.691679727
Sonora Regional Wastewater Treatment Facility,False,https://tudwater.com/tud-project/sonora-regional-wastewater-treatment-facility/,Pacific Gas & Electric Company,37.70,37.933533104,-120.422818925
Russian River Treatment Plant,False,"https://www.sonomawater.org/RRCSD
https://www.sonomawater.org/files/2026_spring_rrcsd_newsletter.pdf","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.485560958,-122.999457386
Stege Sanitary District Wastewater Collection and Conveyance System,False,"https://www.stegessd.org/about-us
https://www.stegessd.org/wastewater-treatment",Pacific Gas & Electric Company,37.70,37.82325389,-122.297626284
Oceanside Water Pollution Control Plant (OWPCP),True,"https://www.shimmick.com/portfolio/oceanside-water-pollution-control-digesters/
https://www.epcconsultants.com/oceanside-water-pollution-control-plant","Pacific Gas & Electric Company, City and County of San Francisco - Hetch Hetchy Water and Power",,37.728604935,-122.504863223
American Valley Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2402/15_uncon_npdes/15_uncon_npdes_buff.pdf
https://quincycsd.com/about-us",Not Applicable,,39.951155238,-120.937643262
City of Calistoga Dunaweal Wastewater Treatment Plant,False,"https://www.calistogaca.gov/Services/Public-Works/Water-and-Wastewater-Treatment
https://www.waterboards.ca.gov/sanfranciscobay/board_info/agendas/2006/October/6_SSR.pdf",Pacific Gas & Electric Company,37.70,38.567339742,-122.556210602
Arcata Wastewater Treatment Facility,True,"https://www.cityofarcata.org/DocumentCenter/View/7454/AMWS-Map---Guide-
https://www.ferndalescience.com/arcatamarsh/digester3.html",Pacific Gas & Electric Company,37.70,40.855405041,-124.090213866
Yountville Wastewater Reclamation Facility,False,"https://www.townofyountville.com/329/Wastewater
https://www.waterboards.ca.gov/sanfranciscobay/board_info/agendas/2010/May/5A/TO_5-4-10.pdf",Pacific Gas & Electric Company,37.70,38.395818756,-122.35796252
City of Oakland Sanitary Sewer Collection System,False,"https://www.oaklandca.gov/topics/sewers-and-stormdrains
https://www.ebmud.com/wastewater/collection-treatment",Pacific Gas & Electric Company,37.70,37.780692958,-122.234543188
Grizzly Ranch Community Services District Wastewater Recycling Facility,False,"https://www.grizzlyranchcsd.com/wastewater-project
https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/general_orders/2014-0153-dwq_noas/2014-0153-dwq-r5301.pdf",Not Applicable,,39.83708527,-120.420493164
Linda County Water District Wastewater Treatment Plant,True,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/sutter/r5-2022-0070_npdes.pdf
https://www.waterboards.ca.gov/board_info/agendas/2009/jul/070709_7.pdf",Pacific Gas & Electric Company,37.70,39.095398115,-121.58518925
City of Anderson Water Pollution Control Plant,False,"https://cms3.revize.com/revize/andersoncanew/departments/public_works1/docs/Wastewater%20Plant%20Process%20Tour%20with%20pics%20Revised%203-12-10.pdf
https://www.ci.anderson.ca.us/DocumentCenter/View/1155/Wastewater-Treatment-Plant-PDF",Pacific Gas & Electric Company,37.70,40.466394167,-122.275013541
Inland Empire Utilities Agency (IEUA) Regional Water Recycling Plant No. 1 (RP-1),True,https://www.ieua.org/regional-water-recycling-plant-no-1/,"Southern California Edison, Metropolitan Water District of So. Cal",,34.02835089,-117.600342076
City of Clovis Water Reuse Facility,False,https://www.clovisca.gov/services/public_utilities/water/recycled_water.php,Pacific Gas & Electric Company,37.70,36.793855055,-119.613452669
Livermore-Amador Valley Water Management Agency (LAVWMA) Export and Storage Facilities,False,https://lavwma.com/about/facilities/,Pacific Gas & Electric Company,37.70,37.695424975,-121.919353131
Deuel Vocational Institution Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/san_joaquin/r5-2014-0014.pdf
https://ceqanet.lci.ca.gov/2006022141",Pacific Gas & Electric Company,37.70,37.745235021,-121.339093047
City of Emeryville Wastewater Collection System,False,https://www.ebmud.com/wastewater/collection-treatment,Pacific Gas & Electric Company,37.70,37.83127496,-122.285503202
Maxwell Public Utility District (PUD) Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/colusa/r5-2016-0043.pdf
https://www.countyofcolusa.org/DocumentCenter/View/14732/Maxwell-Community-Plan","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,39.265283082,-122.184457363
Cutler-Orosi Joint Powers Wastewater Authority Treatment Facility,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2502/14_uncon_npdes/14b_cutler_orosi/cojpwa_wwtf_noph.pdf
https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=6001&tinwsys_st_code=CA&wsnumber=CA5490004",Pacific Gas & Electric Company,37.70,36.52314505,-119.30488259
Inland Empire Utilities Agency (IEUA) Regional Water Recycling Plant No. 2 (RP-2),True,"https://www.ieua.org/regional-water-recycling-plant-no-2/
https://www.ieua.org/wp-content/uploads/2025/01/Agency-Fact-sheet-2025.pdf","Southern California Edison, Metropolitan Water District of So. Cal",,33.968353054,-117.674884152
Coyote Valley Band of Pomo Indians Wastewater Treatment Facility,False,"https://www.coyotevalleytribe.org/copy-of-tribal-council
https://www.epa.gov/environmental-topics-tribes/tribal-water-programs-pacific-southwest",Pacific Gas & Electric Company,37.70,35.102094826,-120.625102664
Sewerage Agency of Southern Marin (SASM) Wastewater Treatment Plant,False,"https://www.cityofmillvalley.gov/DocumentCenter/View/10666/BACWA-2022-Recycled-Water-Study
https://www.millvalleylibrary.org/446/About-Us",Pacific Gas & Electric Company,37.70,37.896684947,-122.527413245
Hangtown Creek Water Reclamation Facility,False,https://www.waterworld.com/home/article/16194015/overcoming-water-reclamation-facility-construction-challenges,Pacific Gas & Electric Company,37.70,38.730838142,-120.846680088
Camrosa Water Reclamation Facility,False,"https://www.camrosa.com/water-reclamation/
https://www.waterboards.ca.gov/losangeles/board_decisions/adopted_orders/npdes_orders/R4-2019-0112/R4-2019-0112.pdf",Southern California Edison,26.48,34.171615823,-119.053068331
Sanitation District No. 5 of Marin County Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/sanfranciscobay/board_info/agendas/2011/August/SD5/TO.pdf
https://www.sani5.org/",Pacific Gas & Electric Company,37.70,37.872874951,-122.451103231
Summerland Sanitary District Wastewater Treatment Plant,False,"https://summerlandsd.org/public-information/facilities/
https://summerlandsd.org/about-us/",Southern California Edison,26.48,34.420214819,-119.598232441
Bert Crane Regional Wastewater Treatment Plant,False,"https://www.atwater.org/departments/publicworks/
https://www.overaa.com/projects/atwater-bert-crane-wastewater-treatment-plant-improvements/",Merced Irrigation District,18.95,37.345859038,-120.600720887
Valley Sanitary District Water Reclamation Facility,True,"https://www.valley-sanitary.org/treatment-operations
https://cweaac25.eventscribe.net/QRcode.asp?presentation=2965707",Imperial Irrigation District,18.11,33.715282931,-116.196955807
IBM / Coyote Valley Complex Wastewater Treatment Facility,False,"https://www.sanjoseca.gov/Home/ShowDocument?id=43936
https://ceqanet.lci.ca.gov/2007052067",Pacific Gas & Electric Company,37.70,39.254565735,-123.213148363
Hammonton Gold Village Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/yuba/r5-2007-0017.pdf
https://agendasuite.org/iip/yuba/file/getfile/9973",Pacific Gas & Electric Company,37.70,39.197119146,-121.313603221
City of Colfax Wastewater Treatment Plant,False,"https://colfax-ca.gov/government/public-works/sewer-collection-system/
https://ceqanet.lci.ca.gov/2021080264",Pacific Gas & Electric Company,37.70,39.080934086,-120.942204485
Newhall Ranch Water Reclamation Plant,False,"https://file.lacounty.gov/SDSInter/bos/supdocs/159134.pdf
https://www.waterboards.ca.gov/losangeles/board_decisions/tentative_orders/individual/npdes/newhall_ranch_wrp/rtc_newhall_ranch_wrp.pdf",Southern California Edison,26.48,34.403171869,-118.689679291
City Of Ferndale Wastewater Treatment Plant,False,"https://www.waterboards.ca.gov/northcoast/board_info/board_meetings/07_2009/pdf/ferndale/09_0034_FerndaleNPDES.pdf
https://ci.ferndale.ca.us/departments/public-works/",Pacific Gas & Electric Company,37.70,40.59302501,-124.259753852
City of Davis Wastewater Treatment Plant,False,https://www.cityofdavis.org/city-hall/public-works-utilities-and-operations/wastewater/wastewater-treatment-plant,Pacific Gas & Electric Company,37.70,38.575731069,-121.634943192
Fairfield-Suisun Wastewater Treatment Plant,True,"https://www.fairfieldsuisunsewer.ca.gov/did-you-now-faq/
https://www.overaa.com/projects/fairfield-suisun-bioenergy-generation/",Pacific Gas & Electric Company,37.70,38.220280006,-122.080289217
Stillwater Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/shasta/r5-2023-0017_npdes.pdf
https://ceqanet.lci.ca.gov/2026050674",Redding Electric Utility,,40.507176998,-122.302766124
City of Sacramento Combined Wastewater Collection and Treatment System (CWCTS),False,"https://www.waterboards.ca.gov/rwqcb5/board_decisions/tentative_orders/2602/09_sac_npdes/saccity_css_sum.pdf
https://www.cbsnews.com/sacramento/news/sacramento-sewer-system-innovation-lab/",Sacramento Municipal Utility District,16.62,38.523245073,-121.524691169
Hayward Marsh,False,https://www.hayward-ca.gov/services/city-services/wastewater-treatment-facility,Pacific Gas & Electric Company,37.70,37.649645335,-122.144556552
Pomona Water Reclamation Plant,False,https://www.lacsd.org/services/wastewater-sewage/facilities/pomona-water-reclamation-plant,"Southern California Edison, Metropolitan Water District of So. Cal",,34.055660531,-117.79030363
Walnut Grove Wastewater Treatment Facility,False,"https://www.sacsewer.com/about-us/
https://sacsewer-bucket.s3.us-west-1.amazonaws.com/wp-content/uploads/Regional-San-State-of-the-District-2022.pdf",Sacramento Municipal Utility District,16.62,38.428988196,-121.433781208
Ventura Water Reclamation Facility,True,"https://www.cityofventura.ca.gov/DocumentCenter/View/34805/13
https://www.waterboards.ca.gov/rwqcb4/board_decisions/adopted_orders/docs/1822_00-143_FS.pdf",Southern California Edison,26.48,34.240004818,-119.261212371
Delleker Wastewater Treatment Plant,False,"https://grizzlylakecsd.com/
https://www.waterboards.ca.gov/rwqcb5/board_decisions/adopted_orders/plumas/r5-2020-0900_tso.pdf",Not Applicable,,39.803725261,-120.498253172
City of El Centro Wastewater Treatment Plant,True,"https://www.cityofelcentro.org/publicworks/water-and-wastewater/
https://www.waterboards.ca.gov/coloradoriver/board_decisions/adopted_orders/orders/2021/r7-2021-0002_el_centro.pdf",Imperial Irrigation District,18.11,32.816425467,-115.57868061
East Bay Municipal Utility District (EBMUD) Albany Wet Weather Facility,False,"https://www.albanyca.gov/Departments/Public-Works/Programs/Sanitary-Sewer-System
https://www.ebmud.com/download_file/force/44620/630?EBMUD_2024_Pretreatment_Annual_Report.pdf",Pacific Gas & Electric Company,37.70,37.886874962,-122.29776021
Sewerage Commission – Oroville Region (SC-OR) Wastewater Treatment Plant,True,"https://www.scorca.gov/
https://www.buttelafco.org/lake-oroville-public-utility-district",Pacific Gas & Electric Company,37.70,39.48568515,-121.563453297
Arcata Wastewater Treatment Facility and Wetlands Demonstration Project,True,"https://www.arcatamarshfriends.org/the-marsh/wastewater-treatment/
https://nepis.epa.gov/Exe/ZyPURL.cgi?Dockey=2000472J.TXT","Southern California Edison, Metropolitan Water District of So. Cal",,33.670684837,-117.834524247
Fort Bragg Municipal Improvement District No. 1 Wastewater Treatment Plant,False,"https://city.fortbragg.com/departments/public_works/treatment_division/waste_water.php
https://www.hdrinc.com/portfolio/fort-bragg-wastewater-treatment-plant-upgrade",Pacific Gas & Electric Company,37.70,39.439029966,-123.814735627
Valencia Water Reclamation Plant,True,"https://www.lacsd.org/services/wastewater-sewage/facilities/valencia-water-reclamation-plant
https://eaintegrator.com/resources/valencia-water-reclamation-plant/",Southern California Edison,26.48,34.432411326,-118.591865335
Western Riverside County Regional Wastewater Authority (WRCRWA) Treatment Plant,True,"https://westernwaterca.gov/178/Wastewater
https://www.homegardenssanitarydistrict.com/wastewater-treatment-info","Southern California Edison, Metropolitan Water District of So. Cal",,33.931807059,-117.604643206
Los Coyotes Water Reclamation Plant,False,https://www.lacsd.org/services/wastewater-sewage/facilities/los-coyotes-water-reclamation-plant,"City of Cerritos, Metropolitan Water District of So. Cal",,33.879893845,-118.10351215
City of Galt Wastewater Treatment Plant and Reclamation Facility,False,"https://www.cityofgalt.org/government/public-works-department/utilities-division/wastewater/treating-wastewater
https://www.cityofgalt.org/?navid=137",Sacramento Municipal Utility District,16.62,38.291380628,-121.27571088
City of Piedmont Sanitary Sewer Collection System,False,"https://piedmont.ca.gov/services___departments/public_works/maintenance_division/sanitary_sewer_system
https://www.ebmud.com/wastewater/collection-treatment/sewers",Pacific Gas & Electric Company,37.70,37.824654963,-122.232663193
East Bay Dischargers Authority (EBDA) Common Outfall,False,"https://ebda.org/
https://www.waterboards.ca.gov/sanfranciscobay/board_info/agendas/2022/July/EastBay/EBDA_Tent_Order.pdf",Pacific Gas & Electric Company,37.70,37.691991649,-122.184229194
City of Live Oak Wastewater Treatment Plant,False,"https://ceqanet.lci.ca.gov/2004112096/3
https://www.haskell.com/project/live-oak-wastewater-treatment-plant/",Pacific Gas & Electric Company,37.70,39.259449122,-121.678624285
City of Visalia Water Reclamation Facility,0,"https://www.visalia.gov/532/Wastewater
https://droughtresilience.com/wp-content/uploads/2019/05/Appendix-R-Tulare-County-Wastewater-Treatment-Facilities.pdf","Southern California Edison, Eastside Power Authority",,36.311872021,-119.412145586
City of Chico Water Pollution Control Plant (WPCP),True,"https://chicoca.gov/Departments/Public-Works/Operations--Maintenance/Water-Pollution-Control-Plant/
https://www.waterboards.ca.gov/centralvalley/board_decisions/adopted_orders/orders/r5-2022-0033.pdf",Pacific Gas & Electric Company,37.70,39.699615139,-121.910773379
City of Mt. Shasta Wastewater Treatment Plant,False,https://www.mtshastaca.gov/public-works/page/wastewater-treatment-plant,PacifiCorp,19.26,41.277783223,-122.313763667
Avalon Wastewater Treatment Facility,False,"https://www.waterboards.ca.gov/losangeles/board_decisions/adopted_orders/docs/0066_R4-2024-0253_WDR.pdf
http://catalinaislandblog.blogspot.com/2015/04/catalina-island-wasterwater.html",Southern California Edison,26.48,33.336427254,-118.312414634
Occidental County Sanitation District (OCSD) Wastewater Treatment Facility,False,"https://www.sonomawater.org/ocsd
https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2007/070305_07-0022-Occidental_ACLC.pdf","Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.395726953,-122.970384371
Anchor Bay Wastewater Treatment Facility,False,https://www.waterboards.ca.gov/northcoast/board_decisions/adopted_orders/pdf/2010/100616_10_0038_NPDES_MCWWD2_AnchorBay.pdf,Pacific Gas & Electric Company,37.70,38.803524939,-123.572863509
Centinela State Prison Wastewater Treatment Plant,False,https://ciwqs.waterboards.ca.gov/ciwqs/enfActionDocRetriever.jsp?actID=351192&docID=307446,Imperial Irrigation District,18.11,32.816012597,-115.778337427
Las Gallinas Valley Sanitary District (LGVSD) Wastewater Treatment Plant,True,https://www.lgvsd.org/wastewater-treatment,Pacific Gas & Electric Company,37.70,38.025282957,-122.52001326
City of Cloverdale Wastewater Treatment Facility,False,https://www.cloverdale.net/550/Wastewater,"Pacific Gas & Electric Company, Power and Water Resource Pooling Authority",,38.795837981,-123.009457426
City of Alturas Wastewater Treatment Plant,True,https://www.waterboards.ca.gov/centralvalley/board_decisions/tentative_orders/2602/13_uncon_enforcement/13a_alturas/alturas_wwtp_cdo.pdf,PacifiCorp,19.26,41.47331139,-120.558041421
